#{"t_start": 1757234537.4369645, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,136.071595
-200.0,200,136.333485
-200.0,200,136.620941
-200.0,200,136.881274
-200.0,200,137.157912
-200.0,200,137.412228
-200.0,200,137.67691
-200.0,200,137.945627
-200.0,200,138.217135
-200.0,200,138.495929
-200.0,200,138.749359
-200.0,200,139.026985
-200.0,200,139.28394
-200.0,200,139.533245
-200.0,200,139.790223
-200.0,200,140.062379
-200.0,200,140.375576
-200.0,200,140.668354
-178.0,178,140.92239
-200.0,200,141.227658
-200.0,200,141.52232
-200.0,200,141.793154
-200.0,200,142.07684
-200.0,200,142.370972
-200.0,200,142.663639
-200.0,200,142.951462
-114.0,114,143.117963
-200.0,200,143.409872
-200.0,200,143.692739
-200.0,200,143.983047
-200.0,200,144.269013
-200.0,200,144.561852
-200.0,200,144.856039
-200.0,200,145.161084
-200.0,200,145.469169
-200.0,200,145.799532
-200.0,200,146.132402
-163.0,163,146.389744
-200.0,200,146.701116
-200.0,200,147.032841
-200.0,200,147.304663
-200.0,200,147.571923
-200.0,200,147.836907
-200.0,200,148.123629
-200.0,200,148.393277
-200.0,200,148.672041
-200.0,200,148.947133
-200.0,200,149.237751
-200.0,200,149.518346
-200.0,200,149.799949
-200.0,200,150.085689
-200.0,200,150.369316
-200.0,200,150.643809
-200.0,200,150.913788
-200.0,200,151.189029
-200.0,200,151.472002
-200.0,200,151.752499
-200.0,200,152.019404
-200.0,200,152.285824
-200.0,200,152.568371
-196.0,196,152.837508
-200.0,200,153.132075
-200.0,200,153.393616
-200.0,200,153.686527
-200.0,200,153.969613
-200.0,200,154.249349
-200.0,200,154.528123
-200.0,200,154.801962
-200.0,200,155.092242
-193.0,193,155.347662
-200.0,200,155.643691
-190.0,190,155.928703
-200.0,200,156.235633
-200.0,200,156.526453
-147.0,147,156.734782
-200.0,200,157.024117
-200.0,200,157.295909
-200.0,200,157.565197
-200.0,200,157.838913
-200.0,200,158.129906
-200.0,200,158.428497
-200.0,200,158.707217
-200.0,200,158.988432
-153.0,153,159.200686
-200.0,200,159.520633
-200.0,200,159.816967
-200.0,200,160.086289
-200.0,200,160.392957
-200.0,200,160.664569
-195.0,195,160.914483
-200.0,200,161.227664
-200.0,200,161.537953
-200.0,200,161.821829
-200.0,200,162.105196
-148.0,148,162.311857
-200.0,200,162.628412
-200.0,200,162.895557
-200.0,200,163.179593
-200.0,200,163.453953
-146.0,146,163.660979
-200.0,200,163.953328
-200.0,200,164.225406
-200.0,200,164.502863
-200.0,200,164.789833
-200.0,200,165.074445
-200.0,200,165.363663
-200.0,200,165.652881
-200.0,200,165.937201
-200.0,200,166.244901
-200.0,200,166.530799
-200.0,200,166.800048
-200.0,200,167.103971
-148.0,148,167.317572
-200.0,200,167.645683
-200.0,200,167.94118
-200.0,200,168.253591
-200.0,200,168.546486
-200.0,200,168.849524
-200.0,200,169.153419
-200.0,200,169.473135
-200.0,200,169.746802
-181.0,181,170.018703
-200.0,200,170.292336
-200.0,200,170.584715
-170.0,170,170.824591
-200.0,200,171.101287
-200.0,200,171.385056
-200.0,200,171.683951
-200.0,200,171.960401
-200.0,200,172.231559
-200.0,200,172.529577
-164.0,164,172.758891
-200.0,200,173.083281
-200.0,200,173.385265
-200.0,200,173.659264
-186.0,186,173.955622
-200.0,200,174.226058
-200.0,200,174.490335
-200.0,200,174.749451
-200.0,200,175.006175
-200.0,200,175.280881
-200.0,200,175.566067
-200.0,200,175.824374
-200.0,200,176.126852
-200.0,200,176.406694
-200.0,200,176.679694
-200.0,200,176.949232
-200.0,200,177.224346
-200.0,200,177.498501
-200.0,200,177.761444
-200.0,200,178.0219
-200.0,200,178.297503
-200.0,200,178.561818
-130.0,130,178.732332
-200.0,200,179.032865
-200.0,200,179.31373
-200.0,200,179.596216
-200.0,200,179.869068
-200.0,200,180.146761
-200.0,200,180.428348
-194.0,194,180.704482
-200.0,200,180.991353
-200.0,200,181.29309
-129.0,129,181.497353
-200.0,200,181.818453
-200.0,200,182.0978
-200.0,200,182.391103
-200.0,200,182.696126
-200.0,200,182.972637
-200.0,200,183.276794
-200.0,200,183.58825
-200.0,200,183.896052
-200.0,200,184.188985
-200.0,200,184.489364
-148.0,148,184.692713
-200.0,200,185.005532
-200.0,200,185.307287
-200.0,200,185.616296
-200.0,200,185.915202
-200.0,200,186.251793
-200.0,200,186.558474
-200.0,200,186.845422
-200.0,200,187.139956
-200.0,200,187.41581
-200.0,200,187.688126
-200.0,200,187.955908
-163.0,163,188.169197
-200.0,200,188.436569
-200.0,200,188.714204
-200.0,200,189.004584
-197.0,197,189.261272
-119.0,119,189.424699
-200.0,200,189.706544
-200.0,200,189.97783
-200.0,200,190.234278
-200.0,200,190.522624
-153.0,153,190.741135
-200.0,200,191.015469
-200.0,200,191.295368
-200.0,200,191.567079
-200.0,200,191.850597
-133.0,133,192.022403
-200.0,200,192.285246
-200.0,200,192.592231
-200.0,200,192.870386
-200.0,200,193.132613
-153.0,153,193.339663
-165.0,165,193.55432
-200.0,200,193.844517
-193.0,193,194.109171
-200.0,200,194.372478
-200.0,200,194.659669
-154.0,154,194.880978
-200.0,200,195.152758
-200.0,200,195.441846
-195.0,195,195.701977
-200.0,200,195.992906
-200.0,200,196.247457
-200.0,200,196.536662
-194.0,194,196.828378
-200.0,200,197.101304
-197.0,197,197.388079
-200.0,200,197.696054
-200.0,200,197.99686
-137.0,137,198.202844
-200.0,200,198.472669
-200.0,200,198.741114
-189.0,189,199.019235
-200.0,200,199.299248
